	NBBag_k7_fi2_chebyshev	AdaBoost	EBBAG	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	[6]	[]	[]	[6]	[]	[]
ecoli1	[]	[]	[6]	[6]	[6]	[]
ecoli2	[2]	[]	[2]	[2]	[]	[]
ecoli3	[]	[]	[5]	[]	[]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]	[]
glass0	[2, 6]	[]	[2, 6]	[2, 6]	[6]	[]
glass1	[2]	[]	[2]	[2]	[2]	[]
glass6	[2]	[]	[2]	[2]	[2]	[]
haberman	[2, 5]	[]	[1, 2, 4, 5, 6]	[]	[]	[]
iris0	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[]
newthyroid2	[2]	[]	[]	[2]	[]	[]
page-blocks0	[3, 5]	[5]	[5]	[2, 3, 5, 6]	[]	[3, 5]
pima	[2, 5]	[]	[1, 2, 5, 6]	[2, 5, 6]	[]	[5]
segment0	[]	[]	[]	[1]	[3]	[]
vehicle0	[2, 6]	[]	[2, 6]	[2, 6]	[2]	[]
vehicle1	[]	[]	[1, 2, 4, 5, 6]	[]	[]	[]
vehicle2	[2, 6]	[]	[2, 6]	[2, 6]	[2]	[]
vehicle3	[5]	[5]	[1, 2, 4, 5, 6]	[]	[]	[5]
wisconsin	[2, 6]	[]	[2, 6]	[2, 6]	[2, 6]	[]
yeast1	[5]	[]	[1, 2, 4, 5, 6]	[5]	[]	[5]
yeast3	[2, 4, 5, 6]	[]	[2, 5]	[2, 5]	[2]	[2]
