	NBBag_k7_fi2_chebyshev	AdaBoost	EBBAG	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	[6]	[]	[]	[6]	[]	[]
ecoli1	[]	[]	[1, 2, 4, 6]	[]	[]	[]
ecoli2	[]	[]	[1, 2, 4, 5, 6]	[]	[]	[]
ecoli3	[]	[]	[1, 2, 4, 5, 6]	[]	[]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]	[]
glass0	[2, 6]	[]	[2, 6]	[2, 6]	[6]	[]
glass1	[2]	[]	[2]	[]	[2]	[2]
glass6	[2]	[]	[2, 4]	[]	[]	[]
haberman	[2, 5]	[]	[1, 2, 4, 5]	[]	[]	[]
iris0	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[4]
newthyroid2	[2]	[]	[2]	[]	[2]	[]
page-blocks0	[2, 5]	[]	[1, 2, 4, 5, 6]	[2, 5]	[]	[2, 5]
pima	[2, 5]	[]	[1, 2, 5, 6]	[1, 2, 5, 6]	[]	[5]
segment0	[]	[]	[]	[1]	[1, 3]	[]
vehicle0	[2, 6]	[]	[1, 2, 4, 5, 6]	[2, 6]	[2]	[]
vehicle1	[]	[]	[1, 2, 4, 5, 6]	[]	[]	[]
vehicle2	[2, 6]	[]	[2, 6]	[2, 6]	[]	[]
vehicle3	[5]	[1, 4, 5]	[1, 2, 4, 5, 6]	[]	[]	[1, 4, 5]
wisconsin	[2, 6]	[]	[2, 6]	[2, 6]	[2, 6]	[]
yeast1	[5]	[5]	[1, 2, 4, 5, 6]	[5]	[]	[5]
yeast3	[2, 4, 5, 6]	[]	[1, 2, 4, 5, 6]	[2]	[]	[2]
