	NBBag_k7_fi2_chebyshev	AdaBoost	EBBAG	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	0.987	0.987	0.987	0.987	0.986	0.986
ecoli1	0.766	0.763	0.721	0.775	0.793	0.716
ecoli2	0.874	0.709	0.781	0.87	0.828	0.722
ecoli3	0.632	0.602	0.472	0.681	0.582	0.539
glass-0-1-2-3_vs_4-5-6	0.878	0.88	0.859	0.891	0.907	0.871
glass0	0.816	0.708	0.745	0.777	0.781	0.682
glass1	0.796	0.632	0.719	0.746	0.811	0.706
glass6	0.854	0.754	0.852	0.853	0.94	0.817
haberman	0.435	0.329	0.406	0.385	0.392	0.302
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.939	0.875	0.892	0.915	0.899	0.91
newthyroid2	0.929	0.871	0.904	0.949	0.926	0.883
page-blocks0	0.883	0.878	0.749	0.882	0.854	0.823
pima	0.681	0.572	0.633	0.692	0.626	0.565
segment0	0.982	0.976	0.956	0.989	0.985	0.972
vehicle0	0.895	0.848	0.845	0.917	0.908	0.859
vehicle1	0.62	0.499	0.533	0.598	0.596	0.506
vehicle2	0.952	0.903	0.928	0.947	0.961	0.91
vehicle3	0.637	0.528	0.53	0.615	0.573	0.506
wisconsin	0.943	0.931	0.945	0.947	0.953	0.923
yeast1	0.64	0.507	0.558	0.635	0.571	0.494
yeast3	0.76	0.667	0.644	0.774	0.742	0.687
