	NBBag_k7_fi2_chebyshev	AdaBoost	EBBAG	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	0.997	0.979	0.993	0.997	0.983	0.979
ecoli1	0.761	0.741	0.897	0.793	0.792	0.792
ecoli2	0.758	0.713	0.845	0.731	0.704	0.79
ecoli3	0.514	0.571	0.9	0.557	0.529	0.614
glass-0-1-2-3_vs_4-5-6	0.853	0.844	0.922	0.874	0.855	0.855
glass0	0.807	0.721	0.843	0.779	0.743	0.771
glass1	0.646	0.593	0.7	0.634	0.631	0.685
glass6	0.88	0.81	0.9	0.827	0.81	0.823
haberman	0.334	0.285	0.531	0.31	0.272	0.433
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.914	0.943	0.957	0.886	0.971	0.943
newthyroid2	0.914	0.871	0.957	0.914	0.943	0.886
page-blocks0	0.863	0.817	0.954	0.87	0.759	0.891
pima	0.595	0.578	0.699	0.621	0.517	0.608
segment0	0.969	0.974	0.985	0.974	0.991	0.982
vehicle0	0.932	0.844	0.982	0.907	0.884	0.847
vehicle1	0.477	0.521	0.747	0.496	0.443	0.572
vehicle2	0.95	0.908	0.961	0.959	0.924	0.933
vehicle3	0.417	0.537	0.727	0.415	0.372	0.545
wisconsin	0.958	0.904	0.971	0.954	0.96	0.914
yeast1	0.493	0.54	0.658	0.507	0.412	0.529
yeast3	0.792	0.669	0.92	0.73	0.69	0.795
