	NBBag_k7_fi2_chebyshev	AdaBoost	EBBAG	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	[]	[]	[]	[]	[]	[]
ecoli1	[3]	[3]	[]	[3]	[3]	[]
ecoli2	[2, 3, 6]	[]	[]	[2, 3, 6]	[2]	[]
ecoli3	[3, 6]	[3, 6]	[]	[2, 3, 6]	[3, 6]	[3]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[2, 3, 6]	[]
glass0	[2, 3, 4, 6]	[]	[6]	[2, 3, 6]	[6]	[]
glass1	[2, 3, 6]	[]	[]	[2, 3, 6]	[2, 3, 4, 6]	[]
glass6	[2]	[]	[]	[2]	[2]	[]
haberman	[2, 3, 6]	[3]	[]	[2, 3, 6]	[2, 3, 6]	[3]
iris0	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[3]
newthyroid2	[]	[]	[]	[]	[]	[]
page-blocks0	[3, 6]	[3, 6]	[]	[3, 6]	[3, 6]	[3]
pima	[2, 3, 6]	[]	[6]	[2, 3, 6]	[2, 3, 6]	[]
segment0	[3]	[3]	[]	[1, 3]	[3]	[3]
vehicle0	[2, 3, 6]	[]	[]	[1, 2, 3, 6]	[2, 3, 6]	[]
vehicle1	[2, 3, 4, 6]	[3]	[]	[2, 3, 6]	[2, 3, 6]	[3]
vehicle2	[2, 3, 6]	[]	[]	[2, 6]	[2, 3, 6]	[]
vehicle3	[2, 3, 6]	[3]	[]	[2, 3, 6]	[2, 3, 6]	[3]
wisconsin	[]	[]	[]	[2]	[2]	[]
yeast1	[2, 3, 6]	[]	[]	[2, 3, 6]	[2, 3, 6]	[]
yeast3	[2, 3, 6]	[3]	[]	[1, 2, 3, 6]	[2, 3, 6]	[3]
