	NBBag_k7_fi1_euclidean	AdaBoost	EBBAG	Bagging	RUSBoost	SMOTEAdaBoost
ecoli-0_vs_1	0.985	0.976	0.983	0.985	0.978	0.969
ecoli1	0.856	0.826	0.892	0.857	0.859	0.853
ecoli2	0.835	0.812	0.896	0.841	0.819	0.849
ecoli3	0.719	0.73	0.891	0.723	0.698	0.769
glass-0-1-2-3_vs_4-5-6	0.919	0.894	0.934	0.915	0.907	0.907
glass0	0.832	0.777	0.848	0.83	0.815	0.752
glass1	0.74	0.69	0.766	0.743	0.758	0.755
glass6	0.921	0.875	0.934	0.896	0.892	0.895
haberman	0.515	0.47	0.611	0.499	0.467	0.526
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.956	0.965	0.93	0.973	0.964
newthyroid2	0.913	0.915	0.966	0.948	0.961	0.947
page-blocks0	0.926	0.897	0.959	0.927	0.863	0.928
pima	0.735	0.664	0.737	0.725	0.652	0.682
segment0	0.985	0.985	0.989	0.986	0.994	0.99
vehicle0	0.938	0.896	0.963	0.939	0.926	0.902
vehicle1	0.646	0.651	0.758	0.66	0.623	0.662
vehicle2	0.964	0.936	0.967	0.97	0.954	0.938
vehicle3	0.628	0.666	0.754	0.613	0.577	0.694
wisconsin	0.958	0.933	0.97	0.962	0.967	0.927
yeast1	0.659	0.65	0.718	0.667	0.594	0.641
yeast3	0.865	0.798	0.927	0.842	0.815	0.853
