	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.991	0.991	0.991	0.991	0.991
ecoli1	0.774	0.778	0.778	0.772	0.77
ecoli2	0.779	0.755	0.766	0.786	0.773
ecoli3	0.589	0.597	0.597	0.605	0.58
glass-0-1-2-3_vs_4-5-6	0.864	0.875	0.879	0.874	0.879
glass0	0.771	0.774	0.777	0.781	0.766
glass1	0.697	0.661	0.674	0.699	0.675
glass6	0.824	0.844	0.844	0.844	0.844
haberman	0.356	0.36	0.358	0.339	0.367
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.907	0.907	0.915	0.915	0.915
newthyroid2	0.864	0.877	0.871	0.871	0.88
page-blocks0	0.87	0.874	0.875	0.873	0.873
pima	0.661	0.66	0.665	0.651	0.662
segment0	0.978	0.979	0.978	0.978	0.978
vehicle0	0.904	0.907	0.905	0.91	0.904
vehicle1	0.52	0.517	0.519	0.525	0.54
vehicle2	0.941	0.943	0.944	0.939	0.942
vehicle3	0.531	0.524	0.513	0.517	0.509
wisconsin	0.952	0.947	0.945	0.944	0.947
yeast1	0.554	0.559	0.553	0.562	0.554
yeast3	0.766	0.773	0.765	0.764	0.765
