	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.997	0.997	0.997	0.997	0.997
ecoli1	0.788	0.794	0.794	0.787	0.781
ecoli2	0.74	0.72	0.73	0.759	0.74
ecoli3	0.543	0.557	0.557	0.571	0.543
glass-0-1-2-3_vs_4-5-6	0.872	0.882	0.882	0.871	0.882
glass0	0.764	0.771	0.779	0.771	0.75
glass1	0.666	0.62	0.64	0.66	0.641
glass6	0.847	0.88	0.88	0.88	0.88
haberman	0.328	0.334	0.334	0.316	0.34
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.9	0.9	0.914	0.914	0.914
newthyroid2	0.843	0.857	0.857	0.857	0.871
page-blocks0	0.865	0.868	0.869	0.869	0.868
pima	0.627	0.627	0.636	0.614	0.634
segment0	0.973	0.974	0.974	0.973	0.971
vehicle0	0.912	0.914	0.909	0.914	0.909
vehicle1	0.475	0.465	0.481	0.477	0.493
vehicle2	0.945	0.947	0.95	0.943	0.95
vehicle3	0.448	0.441	0.434	0.436	0.429
wisconsin	0.952	0.95	0.95	0.95	0.956
yeast1	0.501	0.505	0.495	0.51	0.5
yeast3	0.773	0.783	0.773	0.77	0.773
