	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.975	0.975	0.975	0.975	0.975
ecoli1	0.929	0.928	0.929	0.927	0.929
ecoli2	0.975	0.972	0.974	0.974	0.974
ecoli3	0.967	0.965	0.965	0.963	0.962
glass-0-1-2-3_vs_4-5-6	0.954	0.957	0.96	0.963	0.96
glass0	0.896	0.896	0.892	0.903	0.899
glass1	0.877	0.87	0.866	0.88	0.87
glass6	0.968	0.968	0.968	0.968	0.968
haberman	0.818	0.82	0.811	0.807	0.816
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.983	0.983	0.983	0.983	0.983
newthyroid2	0.978	0.981	0.978	0.978	0.978
page-blocks0	0.986	0.986	0.987	0.986	0.986
pima	0.857	0.855	0.851	0.854	0.849
segment0	0.997	0.997	0.997	0.997	0.997
vehicle0	0.967	0.968	0.968	0.97	0.968
vehicle1	0.878	0.883	0.871	0.881	0.882
vehicle2	0.978	0.979	0.979	0.978	0.977
vehicle3	0.922	0.92	0.916	0.918	0.915
wisconsin	0.974	0.97	0.967	0.966	0.966
yeast1	0.874	0.878	0.88	0.875	0.875
yeast3	0.97	0.97	0.97	0.97	0.97
