	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.986	0.986	0.986	0.986	0.986
ecoli1	0.858	0.861	0.861	0.857	0.855
ecoli2	0.858	0.846	0.852	0.866	0.857
ecoli3	0.755	0.761	0.761	0.767	0.752
glass-0-1-2-3_vs_4-5-6	0.913	0.919	0.921	0.917	0.921
glass0	0.83	0.834	0.835	0.837	0.825
glass1	0.771	0.745	0.753	0.77	0.755
glass6	0.907	0.924	0.924	0.924	0.924
haberman	0.573	0.577	0.572	0.561	0.578
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.942	0.942	0.949	0.949	0.949
newthyroid2	0.91	0.919	0.917	0.917	0.925
page-blocks0	0.925	0.927	0.928	0.928	0.927
pima	0.742	0.741	0.744	0.734	0.742
segment0	0.985	0.986	0.986	0.985	0.984
vehicle0	0.939	0.941	0.939	0.942	0.939
vehicle1	0.676	0.674	0.676	0.679	0.688
vehicle2	0.961	0.963	0.964	0.96	0.963
vehicle3	0.685	0.68	0.675	0.677	0.672
wisconsin	0.963	0.96	0.959	0.958	0.961
yeast1	0.688	0.691	0.688	0.693	0.687
yeast3	0.872	0.877	0.871	0.87	0.872
