	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.987	0.987	0.987	0.987	0.987
ecoli1	0.77	0.772	0.77	0.768	0.772
ecoli2	0.844	0.821	0.84	0.839	0.839
ecoli3	0.677	0.677	0.677	0.675	0.651
glass-0-1-2-3_vs_4-5-6	0.863	0.873	0.882	0.888	0.882
glass0	0.784	0.783	0.781	0.799	0.791
glass1	0.744	0.725	0.727	0.754	0.729
glass6	0.819	0.822	0.822	0.822	0.822
haberman	0.402	0.401	0.396	0.377	0.409
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.92	0.92	0.921	0.921	0.921
newthyroid2	0.91	0.923	0.912	0.912	0.912
page-blocks0	0.877	0.881	0.882	0.877	0.879
pima	0.705	0.702	0.7	0.7	0.696
segment0	0.985	0.985	0.983	0.983	0.985
vehicle0	0.9	0.903	0.904	0.909	0.904
vehicle1	0.581	0.59	0.57	0.591	0.601
vehicle2	0.938	0.939	0.94	0.937	0.936
vehicle3	0.66	0.653	0.635	0.644	0.629
wisconsin	0.953	0.945	0.941	0.939	0.94
yeast1	0.622	0.63	0.63	0.628	0.623
yeast3	0.764	0.768	0.762	0.762	0.761
