	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.99	0.97	0.99	0.99
ecoli1	0.86	0.93	0.78	0.9
ecoli2	0.84	0.98	0.78	0.94
ecoli3	0.73	0.97	0.61	0.92
glass-0-1-2-3_vs_4-5-6	0.91	0.96	0.87	0.94
glass0	0.84	0.9	0.79	0.86
glass1	0.74	0.88	0.68	0.79
glass6	0.92	0.97	0.86	0.96
haberman	0.51	0.82	0.35	0.69
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.93	0.98	0.9	0.97
newthyroid2	0.91	0.98	0.87	0.96
pima	0.73	0.86	0.65	0.77
vehicle0	0.94	0.97	0.91	0.96
vehicle1	0.66	0.89	0.55	0.79
vehicle2	0.96	0.98	0.94	0.97
vehicle3	0.63	0.91	0.51	0.79
wisconsin	0.96	0.97	0.95	0.96
yeast1	0.66	0.88	0.55	0.77
yeast3	0.87	0.97	0.77	0.95
