	NBBag_k7_fi1_euclidean_glob	NBBag_k7_fi1_euclidean_loc
ecoli-0_vs_1	0.986	0.986
ecoli1	0.861	0.862
ecoli2	0.852	0.86
ecoli3	0.761	0.759
glass-0-1-2-3_vs_4-5-6	0.921	0.921
glass0	0.835	0.846
glass1	0.753	0.754
glass6	0.924	0.924
haberman	0.572	0.565
iris0	1.0	1.0
new-thyroid1	0.949	0.949
newthyroid2	0.917	0.917
page-blocks0	0.928	0.927
pima	0.744	0.734
segment0	0.986	0.985
vehicle0	0.939	0.94
vehicle1	0.676	0.68
vehicle2	0.964	0.96
vehicle3	0.675	0.683
wisconsin	0.959	0.96
yeast1	0.688	0.688
yeast3	0.871	0.875
