	NBBag_k7_fi1_euclidean_glob	NBBag_k7_fi1_euclidean_loc
ecoli-0_vs_1	0.991	0.991
ecoli1	0.778	0.781
ecoli2	0.766	0.776
ecoli3	0.597	0.589
glass-0-1-2-3_vs_4-5-6	0.879	0.879
glass0	0.777	0.793
glass1	0.674	0.675
glass6	0.844	0.844
haberman	0.358	0.339
iris0	1.0	1.0
new-thyroid1	0.915	0.915
newthyroid2	0.871	0.871
page-blocks0	0.875	0.874
pima	0.665	0.652
segment0	0.978	0.978
vehicle0	0.905	0.908
vehicle1	0.519	0.526
vehicle2	0.944	0.939
vehicle3	0.513	0.528
wisconsin	0.945	0.948
yeast1	0.553	0.554
yeast3	0.765	0.773
