	NBBag_k7_fi1_euclidean_glob	NBBag_k7_fi1_euclidean_loc
ecoli-0_vs_1	0.985	0.985
ecoli1	0.856	0.857
ecoli2	0.835	0.846
ecoli3	0.719	0.723
glass-0-1-2-3_vs_4-5-6	0.919	0.919
glass0	0.832	0.842
glass1	0.74	0.739
glass6	0.921	0.921
haberman	0.515	0.498
iris0	1.0	1.0
new-thyroid1	0.947	0.947
newthyroid2	0.913	0.913
page-blocks0	0.926	0.925
pima	0.735	0.725
segment0	0.985	0.985
vehicle0	0.938	0.939
vehicle1	0.646	0.648
vehicle2	0.964	0.96
vehicle3	0.628	0.641
wisconsin	0.958	0.96
yeast1	0.659	0.662
yeast3	0.865	0.869
