	NBBag_k7_fi1_euclidean_glob	NBBag_k7_fi1_euclidean_loc
ecoli-0_vs_1	0.987	0.987
ecoli1	0.77	0.776
ecoli2	0.84	0.823
ecoli3	0.677	0.661
glass-0-1-2-3_vs_4-5-6	0.882	0.882
glass0	0.781	0.807
glass1	0.727	0.738
glass6	0.822	0.822
haberman	0.396	0.385
iris0	1.0	1.0
new-thyroid1	0.921	0.921
newthyroid2	0.912	0.912
page-blocks0	0.882	0.883
pima	0.7	0.691
segment0	0.983	0.985
vehicle0	0.904	0.91
vehicle1	0.57	0.591
vehicle2	0.94	0.937
vehicle3	0.635	0.646
wisconsin	0.941	0.947
yeast1	0.63	0.621
yeast3	0.762	0.772
