	NBBag_k7_fi1_euclidean_glob	NBBag_k7_fi1_euclidean_loc
ecoli-0_vs_1	0.997	0.997
ecoli1	0.794	0.794
ecoli2	0.73	0.749
ecoli3	0.557	0.557
glass-0-1-2-3_vs_4-5-6	0.882	0.882
glass0	0.779	0.786
glass1	0.64	0.634
glass6	0.88	0.88
haberman	0.334	0.31
iris0	1.0	1.0
new-thyroid1	0.914	0.914
newthyroid2	0.857	0.857
page-blocks0	0.869	0.867
pima	0.636	0.621
segment0	0.974	0.973
vehicle0	0.909	0.909
vehicle1	0.481	0.479
vehicle2	0.95	0.943
vehicle3	0.434	0.45
wisconsin	0.95	0.95
yeast1	0.495	0.502
yeast3	0.773	0.78
