	NBBag_k7_fi1_euclidean_glob	NBBag_k7_fi1_euclidean_loc
ecoli-0_vs_1	0.975	0.975
ecoli1	0.929	0.93
ecoli2	0.974	0.972
ecoli3	0.965	0.962
glass-0-1-2-3_vs_4-5-6	0.96	0.96
glass0	0.892	0.906
glass1	0.866	0.873
glass6	0.968	0.968
haberman	0.811	0.82
iris0	1.0	1.0
new-thyroid1	0.983	0.983
newthyroid2	0.978	0.978
page-blocks0	0.987	0.987
pima	0.851	0.847
segment0	0.997	0.997
vehicle0	0.968	0.971
vehicle1	0.871	0.88
vehicle2	0.979	0.978
vehicle3	0.916	0.916
wisconsin	0.967	0.971
yeast1	0.88	0.874
yeast3	0.97	0.971
