	NBBAG_k7_fi1.5_cityblock	NBBAG_k7_fi1.5_cosine	NBBAG_k7_fi1.5_manhattan
ecoli-0_vs_1	0.99	0.99	0.99
ecoli1	0.9	0.9	0.9
ecoli2	0.94	0.94	0.94
ecoli3	0.92	0.92	0.92
glass-0-1-2-3_vs_4-5-6	0.94	0.94	0.94
glass0	0.86	0.86	0.86
glass1	0.79	0.79	0.79
glass6	0.96	0.96	0.96
haberman	0.69	0.69	0.69
iris0	1.0	1.0	1.0
new-thyroid1	0.97	0.97	0.97
newthyroid2	0.96	0.96	0.96
pima	0.77	0.77	0.77
vehicle0	0.96	0.96	0.96
vehicle1	0.79	0.79	0.79
vehicle2	0.97	0.97	0.97
vehicle3	0.79	0.79	0.79
wisconsin	0.96	0.96	0.96
yeast1	0.77	0.77	0.77
yeast3	0.95	0.95	0.95
