	NBBAG_k7_fi1.5_cityblock	NBBAG_k7_fi1.5_cosine	NBBAG_k7_fi1.5_manhattan
ecoli-0_vs_1	0.99	0.99	0.99
ecoli1	0.78	0.78	0.78
ecoli2	0.78	0.78	0.78
ecoli3	0.61	0.61	0.61
glass-0-1-2-3_vs_4-5-6	0.87	0.87	0.87
glass0	0.79	0.79	0.79
glass1	0.68	0.68	0.68
glass6	0.86	0.86	0.86
haberman	0.35	0.35	0.35
iris0	1.0	1.0	1.0
new-thyroid1	0.9	0.9	0.9
newthyroid2	0.87	0.87	0.87
pima	0.65	0.65	0.65
vehicle0	0.91	0.91	0.91
vehicle1	0.55	0.55	0.55
vehicle2	0.94	0.94	0.94
vehicle3	0.51	0.51	0.51
wisconsin	0.95	0.95	0.95
yeast1	0.55	0.55	0.55
yeast3	0.77	0.77	0.77
