	NBBAG_k7_fi1.5_cityblock	NBBAG_k7_fi1.5_cosine	NBBAG_k7_fi1.5_manhattan
ecoli-0_vs_1	0.99	0.99	0.99
ecoli1	0.86	0.86	0.86
ecoli2	0.84	0.84	0.84
ecoli3	0.73	0.73	0.73
glass-0-1-2-3_vs_4-5-6	0.91	0.91	0.91
glass0	0.84	0.84	0.84
glass1	0.74	0.74	0.74
glass6	0.92	0.92	0.92
haberman	0.51	0.51	0.51
iris0	1.0	1.0	1.0
new-thyroid1	0.93	0.93	0.93
newthyroid2	0.91	0.91	0.91
pima	0.73	0.73	0.73
vehicle0	0.94	0.94	0.94
vehicle1	0.66	0.66	0.66
vehicle2	0.96	0.96	0.96
vehicle3	0.63	0.63	0.63
wisconsin	0.96	0.96	0.96
yeast1	0.66	0.66	0.66
yeast3	0.87	0.87	0.87
