	NBBAG_k7_fi1.5_cityblock	NBBAG_k7_fi1.5_cosine	NBBAG_k7_fi1.5_manhattan
ecoli-0_vs_1	0.97	0.97	0.97
ecoli1	0.93	0.93	0.93
ecoli2	0.98	0.98	0.98
ecoli3	0.97	0.97	0.97
glass-0-1-2-3_vs_4-5-6	0.96	0.96	0.96
glass0	0.9	0.9	0.9
glass1	0.88	0.88	0.88
glass6	0.97	0.97	0.97
haberman	0.82	0.82	0.82
iris0	1.0	1.0	1.0
new-thyroid1	0.98	0.98	0.98
newthyroid2	0.98	0.98	0.98
pima	0.86	0.86	0.86
vehicle0	0.97	0.97	0.97
vehicle1	0.89	0.89	0.89
vehicle2	0.98	0.98	0.98
vehicle3	0.91	0.91	0.91
wisconsin	0.97	0.97	0.97
yeast1	0.88	0.88	0.88
yeast3	0.97	0.97	0.97
