	NBBAG_k7_fi0.5_eucl	NBBAG_k7_fi1_eucl	NBBAG_k7_fi1.5_eucl	NBBAG_k7_fi2_eucl
ecoli-0_vs_1	0.99	0.99	0.99	0.99
ecoli1	0.76	0.78	0.78	0.77
ecoli2	0.78	0.78	0.78	0.79
ecoli3	0.59	0.59	0.61	0.59
glass-0-1-2-3_vs_4-5-6	0.88	0.88	0.87	0.87
glass0	0.78	0.79	0.79	0.8
glass1	0.68	0.67	0.68	0.7
glass6	0.82	0.84	0.86	0.85
haberman	0.32	0.34	0.35	0.33
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.92	0.92	0.9	0.9
newthyroid2	0.88	0.87	0.87	0.9
pima	0.65	0.65	0.65	0.63
vehicle0	0.9	0.91	0.91	0.92
vehicle1	0.52	0.53	0.55	0.53
vehicle2	0.94	0.94	0.94	0.95
vehicle3	0.51	0.53	0.51	0.52
wisconsin	0.95	0.95	0.95	0.95
yeast1	0.55	0.55	0.55	0.55
yeast3	0.77	0.77	0.77	0.78
