	NBBAG_k7_fi0.5_eucl	NBBAG_k7_fi1_eucl	NBBAG_k7_fi1.5_eucl	NBBAG_k7_fi2_eucl
ecoli-0_vs_1	0.97	0.97	0.97	0.97
ecoli1	0.93	0.93	0.93	0.92
ecoli2	0.97	0.97	0.98	0.98
ecoli3	0.96	0.96	0.97	0.97
glass-0-1-2-3_vs_4-5-6	0.96	0.96	0.96	0.96
glass0	0.9	0.91	0.9	0.91
glass1	0.88	0.87	0.88	0.9
glass6	0.97	0.97	0.97	0.97
haberman	0.82	0.82	0.82	0.82
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.98	0.98	0.98	0.99
newthyroid2	0.98	0.98	0.98	0.98
pima	0.85	0.85	0.86	0.84
vehicle0	0.97	0.97	0.97	0.97
vehicle1	0.88	0.88	0.89	0.88
vehicle2	0.98	0.98	0.98	0.98
vehicle3	0.92	0.92	0.91	0.92
wisconsin	0.97	0.97	0.97	0.97
yeast1	0.87	0.87	0.88	0.88
yeast3	0.97	0.97	0.97	0.97
